ID,gaslit_yesno,text,story_wordcount
2170,yes,Manager yells at worker for being late when they showed up on time,13
2187,yes,"In many of my relationships, I WAS OFTEN LED TO BELIEve THAT MY THOUGHTS ARE FEELINGS WERN'T NORMAL OR Logical.",21
2188,yes,My supervisor was gaslighting me for trying to make him have an allergic reaction because I accidentally made his order of coffee with milk instead of soy.,27
2192,yes,"I was complaining to my manager about being over worked, and how I forced to do things outside my job description.    He responded.""  You're being dramatic. It's not that hard.""    ""You're being overly sensitive.""",37
2224,yes,"Imagine there is a couple, and the girlfriend is flirting with another guy, then when the boyfriends confronts her. And the girlfriend make the boyfriends feel bad by saying that he doesn't trust her.",35
2229,yes,"I told my supervisor that my coworker has been stealing from me with evidence. Despite this, my supervisor continues to insist that my coworker isn't stealing and that I am crazy for thinking he would ever do something like that.  ",41
2247,yes,The student worker approaches the manager with an issue. The manager knows the issue is important but invalidates that for the student worker or Denys that it's a issue.,30
2258,yes,When the supervisor states that they get a 30 but suddenly says that they never said that to the worker,20
2284,yes,"The student worker is being harassed by another coworker so she tells her supervisor. However, her supervisor claims that she is just overreacting, and that the coworker is just ""joking around"".",31
2285,yes,Maybe the student worker felt uncomfortable with one of the customers and she told her supervisor about her feeling and she says that she must have misinterpreted it.,28
2287,yes,"The student was taking his 30 minute lunch break that he is given however the supervisor makes the student feel like he didn't deserve it, by making him feel like his work was under performed in the coffee shop that day.   ",42
2310,yes,"If the student did not do something wrong, but the supervisor would deny it and switch the truth saying it was the students fault. ",24
2311,yes,"the student worker has a big assignment due at the end of the day and asks to leave early. however, the supervisor tells them that they are not allowed to. they should have been more responsible and that school is not worth it. ",43
2335,yes,"The supervisor is criticizing every student worker movement but not giving any idea how to make things better. Student worker is being to feel worthless and useless, she begins to question if she is right fit for the work.",39
2337,yes,I encountered a rude customer and told my supervisor that I was upset this happened. My supervisor told me that I am too sensitive and that the customer was fine. This is a form of gaslighting as the supervisor made me feel like my feelings were invalid. ,47
2351,yes,"""Today while i was making a coffee my supervisor came up to me and said that i havent been making the coffee right, although ive been doing it for so long.""",31
2356,yes,The supervisor spilts coffee and blamed the employee for spilling the coffee. They said they accidentally pushed them and made the coffee spill. The employee started to believe them. ,29
2368,yes,gaslights them into working more hours as they don't need to prioritize school,15
2373,yes,"The student worker made a drink, which he did properly, however his boss did not think so. The boss told the student that he did it incorrectly even though he did not. ",32
2376,yes,"When the supervisor is constantly undermining the student worker, and makes the student worker question everything they do/ know. ",19
2377,yes,Another coworker begins making inappropriate comments to the student worker. The student worker then tells their supervisor about these comments. The supervisor tells the student worker that they are just too sensitive and they're going to have to deal with the comments.,43
