ID,text
1,In the great green room
1, There was a telephone
1, And a red balloon
1, And a picture of
1, The cow jumping over the moon
1, And there were three little bears sitting on chairs
1, And two little kittens
1, And a pair of mittens
1, And a little toyhouse
1, And a young mouse
1, And a comb and a brush and a bowl full of mush
1, And a quiet old lady who was whispering hush
1, Goodnight room
1, Goodnight moon
1, Goodnight cow jumping over the moon
1, Goodnight light and the red balloon
1, Goodnight bears
1, Goodnight chairs
1, Goodnight kittens
1, And goodnight mittens
1, Goodnight clocks
1, And goodnight socks
1, Goodnight little house
1, And goodnight mouse
1, Goodnight comb
1, And goodnight brush
1, Goodnight nobody
1, Goodnight mush
1, And goodnight to the old lady whispering hush
1, Goodnight stars
1, Goodnight air
1,All Goodnight noises everywhere
